Company_Name,Website,Site_catagory,Sign_Up_Deal,Sign_Up_Deal_ifYes,Shipping_Cost,IsShopify,IsMagento,IsOther,CrawlType,InventoryPath,DetailPattern,PaginationPattern,Redirect_URL
REI,www.rei.com,,,,,,,,B,"https://www.rei.com/c/camping-and-hiking,,https://www.rei.com/c/footwear,,https://www.rei.com/c/mens-clothing,,https://www.rei.com/c/womens-clothing,,https://www.rei.com/c/kids-clothing,,https://www.rei.com/c/cycling,,https://www.rei.com/c/paddling,,https://www.rei.com/c/travel-and-luggage,,https://www.rei.com/c/fitness,,https://www.rei.com/c/climbing,,https://www.rei.com/c/skiing,,https://www.rei.com/c/snowboarding,,https://www.rei.com/c/snowshoeing,,https://www.rei.com/c/car-racks,,https://www.rei.com/c/lifestyle-and-gifts,,https://www.rei.com/c/electronics,,https://www.rei.com/c/packs-and-bags,,https://www.rei.com/c/books-and-maps","//div[@id=""search-results""]//ul/li/a",//div[@id='search-results']/following-sibling::nav/*[last()],
RightRice,https://www.rightrice.com/,Brand,,,,,,,C,,,,
Rind,www.rindsnacks.com,Brand,,,,,,,C,,,,
Rite Aid,https://www.riteaid.com/shop/grocery,,,,,,,,C,,,,
Rollin Greens,https://rollingreens.com/,Brand,,,,,,,C,,,,
RX Bar,https://www.rxbar.com/,,,,,,,,C,,,,
Sacred Chocolate,www.sacredchocolate.com,Brand,,,,,,,C,,,,
SafeandFair,https://www.safeandfair.com/,Brand,,,,,,,C,,,,
Safeway,https://www.safeway.com/#,,,,,,,,C,,,,
Sahale Snacks,www.sahalesnacks.com,Brand,,,,,,,C,,,,
Sakara Life,Sakara.com,Retail,,,,,,,C,,,,
San-J,https://san-j.com/,,,,,,,,C,,,,
Seapoint Farms,www.seapointfarms.com,Brand,,,,,,,C,,,,
Sears,,,,,,,,,C,,,,
Seasnax,www.seasnax.com,Brand,,,,,,,C,,,,
Seattle Gourmet Foods,https://www.seattlegourmetfoods.com/,Retail,,,,,,,C,,,,
SF Bay Coffee,www.sfbaycoffee.com,Brand,,,,,,,C,,,,
Shanti Bar,www.shanti.bar,Brand,,,,,,,C,,,,
Shiloh Farms,https://www.shilohfarms.com/,Brand,,,,,,,C,,,,
Siete,https://sietefoods.com/,Brand,,,,,,,C,,,,
Simple Mills,simplemills.com,Brand,,,,,,,C,,,,
Simply Gourmand,https://www.simplygourmand.com/,,,,,,,,C,,,,
Simply Gum,www.simplygum.com,Brand,,,,,,,C,,,,
Simply Organic,,,,,,,,,C,,,,
Sir Kensington,,,,,,,,,C,,,,
Sizzle Fish,https://www.sizzlefish.com/,Brand,,,,,,,C,,,,
Skinny Dipped,https://skinnydipped.com/,Brand,,,,,,,C,,,,
Sky Valley,,,,,,,,,C,,,,
Snackathon,https://snackathonfoods.com/,Retail,,,,,,,C,,,,
Snackcrate,,,,,,,,,C,,,,
Snake River Farms,https://www.snakeriverfarms.com/,Brand,,,,,,,C,,,,
Sogo Snacks,https://www.sogosnacks.com/,Brand,,,,,,,C,,,,
Soozy's Grain Free,https://soozysgrainfree.com/,Brand,,,,,,,C,,,,
Spin Sauce,,,,,,,,,C,,,,
Sprouts,https://shop.sprouts.com/,,,,,,,,C,,,,
Staples,https://www.staples.com/,,,,,,,,B,"https://www.staples.com/Office-Supplies/cat_SC1,,https://www.staples.com/Paper/cat_SC1676,,https://www.staples.com/Laptops-Computers/cat_SC3,,https://www.staples.com/Printers-Scanners-Accessories/cat_SC5435,,https://www.staples.com/Computer-Accessories-Peripherals/cat_SC5904,,https://www.staples.com/Hard-Drives-Data-Storage/cat_SC5486,,https://www.staples.com/Networking-Equipment-WiFi/cat_SC5487,,https://www.staples.com/TV-Streaming-Media/cat_SC5917,,https://www.staples.com/Projectors/cat_CL140542,,https://www.staples.com/Shredders-Office-Machines/cat_SC1681,,https://www.staples.com/Phones-Cameras-Electronics/cat_SC1682,,https://www.staples.com/Computer-Software/cat_SC1941,,https://www.staples.com/Cell-Phones-Accessories/cat_SC5308,,https://www.staples.com/home-automation/cat_SC5529,,https://www.staples.com/Furniture-Chairs-Cabinets/cat_SC2,,https://www.staples.com/Coffee-Water-Snacks/cat_SC1684,,https://www.staples.com/cleaning-supplies/cat_SC1683,,https://www.staples.com/facilities-maintenance/cat_SC350045,,https://www.staples.com/Shipping-Packing-Mailing-Supplies/cat_SC5585,,https://www.staples.com/Safety-Supplies/cat_SC1718","//div[@class=""dotcom-category-page-master__bundleFilter""]//div[contains(@class, ""grid__row"")]//div[contains(@class, ""grid__column"")]//a[@class=""standard-type__product_title""]","scroll_down,,//div[@id=""loadMoreButton""]",
